Aldgate                       ;Elephant & Castle             ;5
Aldgate                       ;Embankment                    ;32
Aldgate                       ;Epping                        ;39
Aldgate                       ;Euston                        ;57
Aldgate                       ;Euston Square                 ;668
Aldgate                       ;Farringdon                    ;1569
Aldgate                       ;Finchley Central              ;0
Aldgate                       ;Finchley Road                 ;150
Aldgate                       ;Finsbury Park                 ;65
Aldgate                       ;Gants Hill                    ;12
Aldgate                       ;Golders Green                 ;36
Aldgate                       ;Great Portland Street         ;463
Aldgate                       ;Green Park                    ;12
Aldgate                       ;Hammersmith (Dis)             ;1
Aldgate                       ;Hampstead                     ;11
Aldgate                       ;Harrow & Wealdstone           ;48
Aldgate                       ;Harrow-on-the-Hill            ;224
Aldgate                       ;High Street Kensington        ;14
Aldgate                       ;Highbury & Islington          ;10
Aldgate                       ;Highgate                      ;16
Aldgate                       ;Hillingdon                    ;2
Aldgate                       ;Holland Park                  ;4
Aldgate                       ;Holloway Road                 ;52
Aldgate                       ;Ickenham                      ;15
Aldgate                       ;Kennington                    ;3
Aldgate                       ;Kensal Green                  ;34
Aldgate                       ;Kentish Town                  ;11
Aldgate                       ;Kilburn                       ;130
Aldgate                       ;King's Cross St. Pancras      ;1608
Aldgate                       ;Kingsbury                     ;26
Aldgate                       ;Lancaster Gate                ;21
Aldgate                       ;Leicester Square              ;11
Aldgate                       ;Leyton                        ;26
Aldgate                       ;Leytonstone                   ;3
Aldgate                       ;Liverpool Street              ;801
Aldgate                       ;London Bridge                 ;19
Aldgate                       ;Maida Vale                    ;15
Aldgate                       ;Manor House                   ;56
Aldgate                       ;Mansion House                 ;20
Aldgate                       ;Marylebone                    ;27
Aldgate                       ;Mill Hill East                ;8
Aldgate                       ;Moor Park                     ;47
Aldgate                       ;Moorgate                      ;904
Aldgate                       ;Neasden                       ;16
Aldgate                       ;North Harrow                  ;100
Aldgate                       ;Northfields                   ;30
Aldgate                       ;Northwick Park                ;53
Aldgate                       ;Northwood                     ;144
Aldgate                       ;Northwood Hills               ;14
Aldgate                       ;Notting Hill Gate             ;4
Aldgate                       ;Oakwood                       ;25
Aldgate                       ;Old Street                    ;6
Aldgate                       ;Oxford Circus                 ;59
Aldgate                       ;Paddington                    ;547
Aldgate                       ;Parsons Green                 ;14
Aldgate                       ;Pimlico                       ;21
Aldgate                       ;Pinner                        ;43
Aldgate                       ;Preston Road                  ;81
Aldgate                       ;Queensbury                    ;126
Aldgate                       ;Rayners Lane                  ;63
Aldgate                       ;Redbridge                     ;4
Aldgate                       ;Rickmansworth                 ;83
Aldgate                       ;Royal Oak                     ;51
Aldgate                       ;Ruislip                       ;16
Aldgate                       ;Ruislip Manor                 ;86
Aldgate                       ;Russell Square                ;21
Aldgate                       ;Shepherd's Bush (Cen)         ;16
Aldgate                       ;South Harrow                  ;8
Aldgate                       ;South Kensington              ;10
